pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author,title,publication_name,pages,volume,issue,nlmabbreviation,scopus_doc_id,authors
15306676,Journal Article,8,45,8/1/2012,PHARMACOLOGY & PHARMACY,1,Intensive versus moderate lipid lowering with statins after acute coronary syndromes [2] (multiple letters),New England Journal of Medicine,1027-8,97,11,,3943068471,Herd JA|West MS|Ballantyne C|Farmer J|Gotto AM
15306676,Journal Article,8,35,8/1/2012,NEUROSCIENCES,1,Intensive versus moderate lipid lowering with statins after acute coronary syndromes [2] (multiple letters),New England Journal of Medicine,1027-8,97,11,,3943068471,Han J|Parsons M|Zhou X|Nicholson AC|Gotto AM|Hajjar DP
208540,Journal Article,5,88,4/1/2012,IMMUNOLOGY,1,The cyanogen bromide peptides of the apoprotein of low density lipoprotein (apoB): Its molecular weight from a chemical view,Biochemical and Biophysical Research Communications,684-90,41,5,Biochem Biophys Res Commun,17890444,Patsch W|Schonfeld G|Gotto AM|Patsch JR
208540,Journal Article,5,54,4/1/2012,BIOPHYSICS,1,The cyanogen bromide peptides of the apoprotein of low density lipoprotein (apoB): Its molecular weight from a chemical view,Biochemical and Biophysical Research Communications,684-90,41,5,Biochem Biophys Res Commun,17890444,Gotto AM
208540,Journal Article,5,68,4/1/2012,CELL BIOLOGY,1,The cyanogen bromide peptides of the apoprotein of low density lipoprotein (apoB): Its molecular weight from a chemical view,Biochemical and Biophysical Research Communications,684-90,41,5,Biochem Biophys Res Commun,17890444,Gotto AM
6154052,Journal Article|Review,87,83,2/1/2011,PHYSIOLOGY,1,The antigenic structure of apolipoprotein A-I in human high density lipoproteins. Radioimmunoassay using surface-specific antibodies,Journal of Biological Chemistry,562-8,128,,J Biol Chem,19308720,Lin-Lee YC|Strobl W|Soyal S|Radosavljevic M|Song M|Gotto AM|Patsch W
2828501,Journal Article|Review,87,86,2/1/2011,CELL BIOLOGY,1,Human apolipoprotein B: Analysis of internal repeats and homology with other apolipoproteins,Journal of Lipid Research,IV40-3,66,6 II,J Lipid Res,23574341,Sostman HD|Forese LL|Boom ML|Schroth L|Klein AA|Mushlin AI|Hagale JE|Pardes H|Girotto RG|Gotto AM
6839333,Letter,27,80,11/1/2008,IMMUNOLOGY,1,The transport of plasma lipids: basic and clinical research and relationship to coronary heart disease.,Cardiovascular Research Center bulletin,366-73,84,2,Cardiovasc Res Cent Bull,20648607,Eisenberg S|Patsch JR|Sparrow JT|Gotto AM|Olivecrona T
3838309,Journal Article,16,79,8/14/2008,DERMATOLOGY,1,Human liver fatty acid binding protein cDNA and amino acid sequence. Functional and evolutionary implications,Journal of Biological Chemistry,551-7,74,5,J Biol Chem,21907501,Chan L|Wei CF|Li WH|Yang CY|Ratner P|Pownall H|Gotto AM|Smith LC
3196227,Journal Article,24,8,3/1/2008,DERMATOLOGY,0,Lactosaminated Fab fragments specific for low density lipoproteins/hepatocyte targeting and hypolipoproteinemic activity,Arteriosclerosis,429-35,271,2,Arteriosclerosis,24202145,Overturf ML|Smith SA|Gotto AM|Morrisett JD|Tewson T|Poorman J|Loose-Mitchell DS
21211600,Journal Article,9,66,1/1/2008,NEUROSCIENCES,1,The editor's roundtable: Closing the clinical practice gapusing evidence-based treatments for managing lipids,American Journal of Cardiology,8420-5,96,15,Am J Cardiol,78650916717,Han J|Hajjar DP|Zhou X|Gotto AM|Nicholson AC
7053374,Journal Article,30,68,10/1/2007,DERMATOLOGY,0,Incorporation of defined cholesteryl esters into lipoproteins using cholesteryl ester-rich microemulsions,Journal of Biological Chemistry,435-42,144,2,J Biol Chem,20063746,Hoff HF|Heideman CL|Gotto AM|Gaubatz JW
2086701,Journal Article,6,18,1/1/2007,CELL BIOLOGY,1,"Dietary cholesterol absorption, and sterol and bile acid excretion in hypercholesterolemia-resistant white rabbits",Journal of Lipid Research,649-61,52,5,J Lipid Res,25609450,Assmann G|Davignon J|Fernandez Cruz A|Gotto AM|Jacot ot B|Lewis B|Paoletti R
1627015,Journal Article,33,12,5/1/2006,DERMATOLOGY,1,The lipid research clinics coronary primary prevention trial: Results of 6 years of post-trial follow-up,Archives of Internal Medicine,III8-14,109,23 SUPPL.,Arch Intern Med,26747150,Metroka CE|Truong P|Gotto AM
6195648,Journal Article,38,81,6/15/05,IMMUNOLOGY,0,The application of an improved solid phase synthetic technique to the delineation of an antigenic site of apolipoprotein A-II,Peptides,383-9,19,3,Peptides,20757682,Gotto AM|Levy RI|Fredrickson DS
3931685,Journal Article,31,31,11/15/2004,IMMUNOLOGY,0,Spontaneous and plasma factor-mediated transfer of pyrenyl cerebrosides between model and native lipoproteins,Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,333-40,139,1,Biochim Biophys Acta,21961330,Farmer JA|Gotto AM
19755356,Journal Article,17,35,11/1/2003,IMMUNOLOGY,1,A randomized trial of rosuvastatin in the prevention of venous thromboembolism,New England Journal of Medicine,"145-9, 155-6",32,2,N Engl J Med,65449138698,Grundy SM|Gotto AM|Bierman EL
213956,Journal Article,74,79,6/15/2002,IMMUNOLOGY,0,The plasma lipoproteins: current concepts of metabolism and structure with clinical implications.,Advances in Experimental Medicine and Biology,456-63,15,6,Adv Exp Med Biol,18175690,Glynn RJ|Danielson E|Fonseca FAH|Genest J|Gotto AM|Kastelein JJP|Koenig W|Libby P|Lorenzatti AJ|MacFadyen JG|Nordestgaard BG|Shepherd J|Willerson JT|Ridker PM
3094511,Journal Article,73,74,8/21/2000,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Apolipoprotein E-mediated binding of hypertriglyceridemic very low density lipoproteins to isolated low density lipoprotein receptors detected by ligand blotting,Biochemical and Biophysical Research Communications,187-211,348,,Biochem Biophys Res Commun,22454745,Gotto AM
2944670,Journal Article,73,68,8/21/2000,CELL BIOLOGY,1,"Association of levels of lipoprotein Lp(a), plasma lipids, and other lipoproteins with coronary artery disease documented by angiography",Circulation,290-300,28,3,Circulation,22515518,Gotto AM|Levy RI|Birnbaumer ME|Fredrickson DS
2078321,Journal Article,49,18,5/1/2009,NEUROSCIENCES,1,Calcium channel blockers and the prevention of atherosclerosis,American Journal of Hypertension,27-34,837,1,Am J Hypertens,25678548,Bachorik PS|Bradford RH|Cole T|Frantz I|Gotto AM|Roberts K|Warnick GR|Williams OD
7066072,Journal Article,65,57,1/1/2008,BIOCHEMISTRY & MOLECULAR BIOLOGY,0,Effect of saturated and unsaturated fat diets on lipid profiles of plasma lipoproteins,Atherosclerosis,354-61,8,6,Atherosclerosis,20043522,Gotto AM J
9555782,Journal Article,65,55,1/1/2008,CELL BIOLOGY,0,Consensus for the use of fibrates in the treatment of dyslipoproteinemia and coronary heart disease,American Journal of Cardiology,4424-30,96,12,Am J Cardiol,32054839,Orlova EV|Sherman MB|Chiu W|Mowri H|Smith LC|Gotto AM
226521,Journal Article,81,87,12/1/2007,GENETICS & HEREDITY,1,Contribution of alpha helix formation in human plasma apolipoproteins to their enthalpy of association with phospholipids.,Journal of Biological Chemistry,2B-4B,52,4,J Biol Chem,18787383,Bernini F|Via DP|Bocan Th MA|Gotto AM|Smith LC
175991,Journal Article,81,91,12/1/2007,DEVELOPMENTAL BIOLOGY,1,Comparative studies on plasma low density lipoproteins from pig and man,Comparative Biochemistry and Physiology -- Part B: Biochemistry and,15662-8,260,29,Comp Biochem Physiol B,17251287,Gotto AM
2912424,Journal Article,14,68,12/1/2007,NEUROSCIENCES,1,Structure of apolipoprotein B-100 of human low density lipoproteins,Arteriosclerosis,36-47,285,1,Arteriosclerosis,24490063,Pownall HJ|Massey JB|Kusserow SK|Gotto AM
10625669,Journal Article,81,90,12/1/2007,CELL BIOLOGY,1,"Transforming growth factor-�_1 (TGF-�_1) and TGF-�_2 decrease expression of CD36, the type B scavenger receptor, through mitogen-activated protein kinase phosphorylation of peroxisome proliferator-activated receptor-�_",Journal of Biological Chemistry,221-40,41,5 SUPPL. 1,J Biol Chem,33968252,Mao SJT|Miller JP|Gotto AM|Sparrow JT
206460,Journal Article,14,45,12/1/2007,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Detergent extraction of tightly-bound apoB from extracts of normal aortic intima and plaques,Experimental and Molecular Pathology,231-7,1002,2,Exp Mol Pathol,18102432,Farmer JA|Washington LC|Jones PH|Shapiro DR|Gotto AM|Mantell G
2930771,Journal Article,58,88,3/1/2007,CELL BIOLOGY,1,The primary structure of human apolipoprotein A-IV,Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism,230-42,107,2,Biochim Biophys Acta,24513814,Yang CY|Gu ZW|Xie YH|Valentinova NV|Yang M|Yeshurun D|Quion JAV|Gotto AM
6772077,Journal Article,10,66,10/15/2006,NEUROSCIENCES,0,Phospholipid binding studies with synthetic apolipoprotein fragments.,Annals of the New York Academy of Sciences,825-31,8,6,Ann N Y Acad Sci,18884888,Yang Cy|Gu ZW|Chong I|Xiong W|Rosseneu M|Yang Hx|Lee Br|Gotto AM|Chan L
6466199,Comment|Journal Article|Review,35,79,7/5/2006,IMMUNOLOGY,1,Recommendations for the treatment of hyperlipidemia in adults. A joint statement of the nutrition committee and the council on arteriosclerosis of the American Heart Association,Arteriosclerosis,363-6,238,4825,Arteriosclerosis,21270626,Jackson RL|Gotto AM
14411058,Comment|Journal Article|Review,35,80,7/5/2006,"MEDICINE, RESEARCH & EXPERIMENTAL",1,Biosynthesis of cell constituents from C2-compounds: Formation of malate from glycollate by pseudomonas ovalis Chester,Nature,168-78,70,1,Nature,38698463,Patsch W|Richey Sharrett A|Chen IY|Lin-Lee YC|Brown SA|Gotto AM|Boerwinkle E
7387988,Journal Article,42,8,5/15/2006,NEUROSCIENCES,1,Serum lipoprotein structure: Resonance energy transfer localization of fluorescent lipid probes,Biochemistry,5337-42,23,22,Biochemistry,18964728,Gotto AM
2932736,Journal Article,24,12,2/24/2005,NEUROSCIENCES,1,A complex hind III polymorphism in the human apolipoprotein-B gene (APOB),Nucleic Acids Research,155-6,5,3,Nucleic Acids Res,18544409539,Gotto AM
