pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author_dummy_data
21102583,Journal Article,6,9,1/7/2014,BIOCHEMICAL RESEARCH METHODS,1
18067118,Journal Article|Review,77,63,8/1/2009,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
18067118,Journal Article|Review,77,63,8/1/2009,BIOPHYSICS,1
22229970,Journal Article|Review,11,10,2/1/2012,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,0
10605625,Journal Article,15,12,7/17/2009,CARDIAC & CARDIOVASCULAR SYSTEMS,0
23328481,Journal Article,17,13,1/14/2013,CELL BIOLOGY,1
20086175,Journal Article,79,66,3/23/2011,CELL BIOLOGY,0
21102583,Journal Article,6,6,1/7/2014,"CHEMISTRY, MULTIDISCIPLINARY",1
21102583,Journal Article,6,4,1/7/2014,"CHEMISTRY, MULTIDISCIPLINARY",1
10619499,"Clinical Trial|Clinical Trial, Phase I|Journal Article",7,3,12/21/1999,CLINICAL NEUROLOGY,1
24472478,Journal Article|Multicenter Study|Randomized Controlled Trial,1,3,10/1/2013,GERIATRICS & GERONTOLOGY,1
7912516,Journal Article,6,7,11/1/2012,HEALTH CARE SCIENCES & SERVICES,1
15258838,Journal Article|Review,70,63,9/1/2004,HEALTH CARE SCIENCES & SERVICES,1
22109386,Journal Article,3,5,8/1/2012,HEALTH POLICY & SERVICES,0
7703927,Journal Article,0,0,1/1/1994,HEMATOLOGY,1
17563739,Journal Article|Multicenter Study|Randomized Controlled Trial,3,6,8/1/07,HEMATOLOGY,0
16044139,Clinical Trial|Journal Article,4,3,9/1/2005,HEMATOLOGY,1
8563521,Journal Article|Review,9,11,1/1/1995,HEMATOLOGY,0
12189532,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,14,8/1/2002,HEMATOLOGY,0
9358993,Journal Article|Review,11,27,12/1/1997,HEMATOLOGY,0
12200680,Journal Article,12,10,9/1/2002,HEMATOLOGY,1
10605625,Journal Article,15,14,7/17/2009,HEMATOLOGY,1
9818693,Journal Article,16,15,11/5/1998,HEMATOLOGY,1
7949097,Clinical Trial|Journal Article,61,30,11/15/1994,HEMATOLOGY,1
7949141,Journal Article|Review,192,80,12/1/1994,HEMATOLOGY,0
7703927,Journal Article,0,0,1/1/1994,IMMUNOLOGY,1
17563739,Journal Article|Multicenter Study|Randomized Controlled Trial,3,3,8/1/2007,IMMUNOLOGY,0
16044139,Clinical Trial|Journal Article,4,5,9/1/2005,IMMUNOLOGY,1
12189532,"Clinical Trial|Clinical Trial, Phase II|Journal Article",9,9,8/1/2002,IMMUNOLOGY,1
9818693,Journal Article,16,16,11/5/1998,IMMUNOLOGY,1
20486622,Journal Article,10,25,5/1/2010,INTEGRATIVE & COMPLEMENTARY MEDICINE,1
21376386,"Clinical Trial, Phase III|Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial",182,96,3/12/2011,"MEDICINE, GENERAL & INTERNAL",1
22229970,Journal Article|Review,11,10,2/1/2012,"MEDICINE, RESEARCH & EXPERIMENTAL",1
20086175,Journal Article,79,67,3/23/2011,"MEDICINE, RESEARCH & EXPERIMENTAL",1
7506505,Journal Article|Review,3,5,12/1/1993,MULTIDISCIPLINARY SCIENCES,1
21102583,Journal Article,6,5,1/7/2014,NANOSCIENCE & NANOTECHNOLOGY,1
