pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author
3246289,Journal Article,0,0,12/1/1988,CELL BIOLOGY,1
3246289,Journal Article,0,0,12/1/1988,DEVELOPMENTAL BIOLOGY,1
2549419,Journal Article,0,0,1/1/1989,"MEDICINE, GENERAL & INTERNAL",1
13426,Journal Article,3,5,11/30/1976,BIOLOGY,0
6153291,Journal Article|Review,3,22,3/3/1980,NEUROSCIENCES,1
6527795,Journal Article,3,18,1/1/1984,NEUROSCIENCES,0
1351851,Journal Article,4,89,12/1/1992,CELL BIOLOGY,1
1351851,Journal Article,4,90,12/1/1992,ONCOLOGY,1
7334372,Journal Article,5,28,1/1/1984,MULTIDISCIPLINARY SCIENCES,1
2455102,Journal Article,5,25,12/1/1987,CARDIAC & CARDIOVASCULAR SYSTEMS,1
2455102,Journal Article,5,28,12/1/1987,PHARMACOLOGY & PHARMACY,1
1706332,Journal Article,5,88,4/1/1912,IMMUNOLOGY,1
6295640,Journal Article,6,5,6/18/1990,MULTIDISCIPLINARY SCIENCES,0
8392841,Journal Article,6,98,1/1/1993,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
8392841,Journal Article,6,55,1/1/1993,BIOPHYSICS,0
16916597,Journal Article,6,18,1/1/2007,CELL BIOLOGY,1
1691376,Journal Article,8,78,3/6/1990,CARDIAC & CARDIOVASCULAR SYSTEMS,0
1691376,Journal Article,8,67,3/6/1990,PHARMACOLOGY & PHARMACY,0
1649258,Journal Article,8,89,8/1/1991,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
1649258,Journal Article|Review,8,86,8/1/1991,NEUROSCIENCES,1
1573676,Comparative Study|Journal Article,8,76,5/11/1992,NEUROSCIENCES,1
22739139,Journal Article,8,45,8/1/1912,PHARMACOLOGY & PHARMACY,1
11872839,Journal Article,9,66,1/1/2008,NEUROSCIENCES,1
8904753,Journal Article,10,66,10/15/1996,NEUROSCIENCES,0
5432063,Journal Article,12,45,1/1/1979,MULTIDISCIPLINARY SCIENCES,1
88248,Journal Article,12,41,5/18/1979,NEUROSCIENCES,0
2985756,Journal Article,14,65,1/1/1985,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
2985756,Journal Article,14,61,1/1/1985,NEUROSCIENCES,1
7969075,Journal Article,14,2,11/1/1994,PHARMACOLOGY & PHARMACY,1
9297634,Journal Article,14,45,12/1/1997,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
9297634,Journal Article,14,68,12/1/1997,NEUROSCIENCES,1
2454047,Journal Article,16,5,1/1/1988,MULTIDISCIPLINARY SCIENCES,1
11022778,Journal Article,16,79,8/14/2008,DERMATOLOGY,1
2446133,Letter,17,67,12/1/1987,"MEDICINE, GENERAL & INTERNAL",1
14579275,Journal Article,17,35,11/1/2003,IMMUNOLOGY,1
1689374,Journal Article,20,28,3/14/1990,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
1689374,Journal Article,20,99,3/14/1990,NEUROSCIENCES,1
1320686,Journal Article,20,18,1/1/1992,PHARMACOLOGY & PHARMACY,0
2455711,Journal Article,22,99,1/1/1988,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
7714916,Journal Article,24,12,2/24/1995,NEUROSCIENCES,1
18205818,Journal Article,24,8,3/1/2008,DERMATOLOGY,0
6086675,Journal Article,25,78,1/1/1984,CELL BIOLOGY,1
6086675,Journal Article,25,76,1/1/1984,PHYSIOLOGY,0
7861180,Journal Article,26,18,1/1/1995,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
7861180,Journal Article,26,68,1/1/1995,NEUROSCIENCES,0
11574748,er,27,80,11/1/2008,IMMUNOLOGY,1
6480703,Comparative Study|Journal Article,28,55,12/1/1986,CELL BIOLOGY,0
17495962,Journal Article,30,68,10/1/2007,DERMATOLOGY,0
15528344,Journal Article,31,31,11/15/2004,IMMUNOLOGY,0
6256087,Journal Article,33,58,1/1/1989,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
6256087,Journal Article,33,98,1/1/1989,CELL BIOLOGY,1
16619009,Journal Article,33,12,5/1/2006,DERMATOLOGY,1
8676083,Comment|Journal Article|Review,35,79,7/5/1996,IMMUNOLOGY,1
8676083,Comment|Journal Article|Review,35,80,7/5/1996,"MEDICINE, RESEARCH & EXPERIMENTAL",1
2447073,Comparative Study|Journal Article,36,78,3/1/1992,CELL BIOLOGY,0
2967302,Journal Article,38,86,1/1/1988,CELL BIOLOGY,1
2967302,Journal Article,38,45,1/1/1988,PHYSIOLOGY,0
15944274,Journal Article,38,81,6/15/2005,IMMUNOLOGY,0
2544319,Journal Article,39,78,1/1/1989,CARDIAC & CARDIOVASCULAR SYSTEMS,1
2544319,Journal Article,39,76,1/1/1989,HEMATOLOGY,0
2544319,Journal Article,39,18,1/1/1989,PERIPHERAL VASCULAR DISEASE,1
3672127,Journal Article,42,41,6/1/1991,CELL BIOLOGY,1
1325442,Journal Article,42,61,9/5/1992,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
8739150,Journal Article,42,8,5/15/1996,NEUROSCIENCES,1
2537929,Letter,44,55,1/1/1989,"MEDICINE, GENERAL & INTERNAL",1
7525897,Journal Article,44,79,11/16/1994,NEUROSCIENCES,0
8483478,Journal Article,45,28,4/13/1993,ENDOCRINOLOGY & METABOLISM,1
8190356,Journal Article,46,76,1/17/1994,NEUROSCIENCES,1
3272188,Journal Article|Review,47,41,1/1/1988,NEUROSCIENCES,1
418798,Journal Article,48,89,12/1/1978,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
10336252,Journal Article,49,18,5/1/1999,NEUROSCIENCES,1
7689711,Journal Article,50,67,5/14/1993,NEUROSCIENCES,0
6254672,Journal Article,52,35,1/1/1985,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
6254672,Journal Article,52,90,1/1/1985,CELL BIOLOGY,1
4747985,Journal Article,52,78,12/1/1986,CELL BIOLOGY,0
1377233,Journal Article,52,65,1/1/1992,NEUROSCIENCES,1
4316955,Journal Article,55,76,1/1/1989,MULTIDISCIPLINARY SCIENCES,1
2032466,Journal Article,56,22,2/14/1991,IMMUNOLOGY,1
2032466,Journal Article,56,28,2/14/1991,MICROBIOLOGY,1
3008330,Journal Article,58,58,12/1/1986,MULTIDISCIPLINARY SCIENCES,1
9092945,Journal Article,58,88,3/1/1997,CELL BIOLOGY,1
8410184,Journal Article,60,25,1/1/1993,NEUROSCIENCES,0
2914963,Comparative Study|Journal Article,61,25,5/3/1990,CELL BIOLOGY,1
656382,Journal Article,64,74,12/1/1978,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
8230323,Journal Article,64,58,1/1/1993,NEUROSCIENCES,1
8045941,Journal Article,65,57,1/1/1998,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
8045941,Journal Article,65,55,1/1/1998,CELL BIOLOGY,0
1651325,Journal Article,73,71,12/1/1991,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
8417318,Journal Article,73,74,8/21/2000,BIOCHEMISTRY & MOLECULAR BIOLOGY,1
8417318,Journal Article,73,68,8/21/2000,CELL BIOLOGY,1
2465300,Journal Article,74,79,1/1/1989,CELL BIOLOGY,1
2465300,Journal Article,74,61,1/1/1989,PHYSIOLOGY,1
12055224,Journal Article,74,79,6/15/2002,IMMUNOLOGY,0
2845019,Journal Article,76,71,1/1/1988,NEUROSCIENCES,1
44173,Journal Article,78,81,12/1/1979,NEUROSCIENCES,0
6143400,Comparative Study|Journal Article,78,75,12/1/1988,MULTIDISCIPLINARY SCIENCES,1
4150901,Journal Article,78,74,4/15/1993,MULTIDISCIPLINARY SCIENCES,1
8756728,Journal Article,81,90,12/1/1997,CELL BIOLOGY,1
8756728,Journal Article,81,91,12/1/1997,DEVELOPMENTAL BIOLOGY,1
8756728,Journal Article,81,87,12/1/1997,GENETICS & HEREDITY,1
7534883,Journal Article,84,80,1/1/1994,NEUROSCIENCES,1
7510332,Journal Article,85,88,3/1/1994,NEUROSCIENCES,1
19618472,Journal Article|Review,87,86,2/1/2011,CELL BIOLOGY,1
19618472,Journal Article|Review,87,83,2/1/2011,PHYSIOLOGY,1
2727148,Journal Article,88,89,1/1/1989,SURGERY,1
1910045,Journal Article|Review,104,94,9/15/1991,BIOCHEMISTRY & MOLECULAR BIOLOGY,0
7687284,Journal Article,128,89,12/1/1993,NEUROSCIENCES,1
7284789,Journal Article,157,98,12/1/1986,MULTIDISCIPLINARY SCIENCES,1
7522935,Journal Article,256,94,7/18/1994,NEUROSCIENCES,1
3899557,Journal Article,614,99,12/19/1986,MULTIDISCIPLINARY SCIENCES,0
