pmid,pubtype,citation_count,percentile_rank_dummy_data,cover_date,category,first_or_last_author_dummy_data,title,publication_name,pages,volume,issue,nlmabbreviation,scopus_doc_id,authors
8452121,Journal Article,6,7,11/1/2012,HEALTH CARE SCIENCES & SERVICES,1,Does body fatness modify the effect of dietary cholesterol on serum cholesterol? results from the Chicago Western electric study,American Journal of Epidemiology,171-7,137,2,Am J Epidemiol,27474032,Gotto AM|Jou J
1963115,Journal Article,6,14,11/1/2012,ONCOLOGY,1,Cyclopentanoid analogs of dipalmitoyl phosphatidic acid: effect of backbone geometry on thermotropic properties,Chemistry and Physics of Lipids,231-43,55,3,Chem Phys Lipids,25086721,Ballantyne CM|Radovancevic B|Farmer JA|Frazier OH|Chandler L|Payton-Ross C|Cocanougher B|Jones PH|Young JB|Gotto AM
1963115,Journal Article,6,8,11/1/2012,BIOCHEMISTRY & MOLECULAR BIOLOGY,1,Cyclopentanoid analogs of dipalmitoyl phosphatidic acid: effect of backbone geometry on thermotropic properties,Chemistry and Physics of Lipids,231-43,55,3,Chem Phys Lipids,25086721,Mao SJT|Sparrow JT|Gilliam EB|Gotto AM|Jackson RL
18036365,Journal Article,8,20,11/1/2012,REHABILITATION,1,"Baseline Characteristics of Participants in the JUPITER Trial, A Randomized Placebo-Controlled Primary Prevention Trial of Statin Therapy Among Individuals With Low Low-Density Lipoprotein Cholesterol and Elevated High-Sensitivity C-Reactive Protein",American Journal of Cardiology,1659-64,100,11,Am J Cardiol,36249022736,Gotto AM
18036365,Journal Article,8,6,11/1/2012,PHARMACOLOGY & PHARMACY,1,"Baseline Characteristics of Participants in the JUPITER Trial, A Randomized Placebo-Controlled Primary Prevention Trial of Statin Therapy Among Individuals With Low Low-Density Lipoprotein Cholesterol and Elevated High-Sensitivity C-Reactive Protein",American Journal of Cardiology,1659-64,100,11,Am J Cardiol,36249022736,Gotto AM|Breen WJ|Corder CN|Dunn JK|Goldberg A|Knopp RH|Schrott H|Sprecher D
18036365,Journal Article,8,15,11/1/2012,CLINICAL NEUROLOGY,1,"Baseline Characteristics of Participants in the JUPITER Trial, A Randomized Placebo-Controlled Primary Prevention Trial of Statin Therapy Among Individuals With Low Low-Density Lipoprotein Cholesterol and Elevated High-Sensitivity C-Reactive Protein",American Journal of Cardiology,1659-64,100,11,Am J Cardiol,36249022736,Roth RI|Jackson RL|Pownall HJ|Gotto AM
16581326,Journal Article|Review,62,64,10/1/2012,ONCOLOGY,1,"Statins, Cardiovascular Disease, and Drug Safety",American Journal of Cardiology,3C-5C,97,8 SUPPL. 1,Am J Cardiol,33645857653,Hoff HF|Gaubatz JW|Gotto AM
8434559,Journal Article,6,8,10/1/2012,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0,Overview of current issues in management of dyslipidemia,The American Journal of Cardiology,3B-8B,71,6,Am J Cardiol,27401791,Fuster V|Gotto AM|Libby P|Loscalzo J|McGill HC
6336794,Journal Article,3,5,8/1/2012,HEALTH POLICY & SERVICES,0,Effects of stress management training and dietary changes in treating ischemic heart disease,Journal of the American Medical Association,54-9,249,1,JAMA,20699217,Goff DC|Shekelle RB|Moy̩ LA|Katan MB|Gotto AM|Stamler J
3134384,Journal Article,3,6,8/1/2012,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0,Lipoprotein metabolism and the etiology of hyperlipidemia.,Hospital practice (Office ed.),34-55,23 Suppl 1,,Hosp Pract (Off Ed),24023661,Voyta JC|Via DP|Kinnunen PKJ|Sparrow JT|Gotto AM|Smith LC
